iteration,seconds
1,19.888816356658936
2,18.495639085769653
3,19.034029960632324
4,19.846814393997192
5,21.66140604019165
6,20.733039379119873
7,23.92218017578125
8,25.53317141532898
9,26.8600332736969
10,29.76377296447754
11,32.089069843292236
12,33.94497299194336
13,36.22144079208374
14,42.26543664932251
15,46.65257477760315
16,50.62424612045288
17,56.45174837112427
18,57.650755167007446
19,69.9764928817749
20,79.34059023857117
21,86.55938005447388
22,91.6611852645874
23,105.71533370018005
24,115.6491367816925
25,127.16645836830139
26,130.44237351417542
27,151.07927775382996
28,162.2534875869751
29,176.4442183971405
30,162.768479347229
31,166.21889686584473
32,215.19055318832397
33,227.85453581809998
34,221.21186518669128
35,246.7984917163849
36,257.15969014167786
37,247.8685326576233
38,268.79376912117004
39,286.87182784080505
40,282.4578137397766
41,307.0651412010193
42,255.19237542152405
43,271.7484521865845
44,331.97748136520386
45,332.4570872783661
46,308.44228315353394
47,332.83786702156067
48,354.98447704315186
49,320.85148549079895
50,342.426545381546
51,350.86971831321716
52,373.75732803344727
53,374.35442543029785
54,363.1033339500427
55,389.562162399292
56,372.84703850746155
57,406.28900051116943
58,395.4539895057678
59,363.4529161453247
60,386.4795608520508
61,420.4969918727875
62,364.09144163131714
63,420.86872601509094
64,444.1143355369568
65,390.9343342781067
66,412.1313998699188
67,338.6881859302521
68,469.4789206981659
69,408.6669132709503
70,460.3056354522705
71,479.18335580825806
72,465.3678078651428
73,489.0435531139374
74,492.0047628879547
75,475.3187062740326
76,467.664913892746
77,466.7718484401703
78,492.6035101413727
79,518.1831142902374
80,530.2537508010864
81,536.6042175292969
82,458.4336473941803
83,546.2102093696594
84,544.9699957370758
85,530.0234642028809
86,526.0653834342957
87,542.962970495224
88,525.4049341678619
89,537.369784116745
90,574.9376225471497
91,564.5856890678406
92,551.244726896286
93,601.9244377613068
94,581.6097178459167
95,610.177332162857
96,570.9046125411987
97,569.7611703872681
98,619.7744779586792
99,626.4629075527191
100,635.9544153213501
101,646.217031955719
102,612.100476026535
103,633.5522708892822
104,620.2831778526306
105,600.7251586914062
106,591.3188488483429
107,675.7969362735748
108,674.3535623550415
109,659.1230084896088
110,667.398505449295
111,683.0711784362793
112,693.4681706428528
113,635.6063251495361
114,655.2331097126007
115,719.8282339572906
116,716.5481369495392
117,714.8813428878784
118,730.8940427303314
