error1;error2;error3;error4;error5;error6;error7;error8;error9;error10
0.02115308287976948;0.019349460401083984;0.019042735787788416;0.018300953636308764;0.01810810711550966;0.017768697130264677;0.017506334110845092;0.017173686976955375;0.01722450088765605;0.01707068003220117
0.03426655388652337;0.03245432595676853;0.03170772571317259;0.030669844940558348;0.02997433604007422;0.029263919212922818;0.028922065872235704;0.028896968536134826;0.028782441069395825;0.02854146545637613
0.039562081627458216;0.038070629845211146;0.036873634539494354;0.03639713314451397;0.03627827893186726;0.0358957879348575;0.03551653621140545;0.03525422860384046;0.034876987199362997;0.034611581835690755
0.0414147539434226;0.03968098190929129;0.039387354894009755;0.03906489761665988;0.038784329496482875;0.0385320175583124;0.03880775085706582;0.03879604446561885;;
0.04259982970665261;0.04032786076419252;0.039950419626295246;0.03963059664982384;0.0393199535316691;0.03910259168049853;0.03909237548301137;0.039099201285689056;0.03905682060261504;0.03905133390472586
0.043497834233783596;0.041032647836667595;0.040711932101908196;0.04051656773106573;0.04042598888600678;0.04030477174468039;0.04028707271561881;0.040176705584345954;0.04013392209255605;
0.04398906724458397;0.0414447999464488;0.04112275393608322;0.04093463870053884;0.04079651686990206;0.04056937650362444;0.04052119788152608;0.0404574574929968;;
0.04426429860181701;0.042146165192356956;0.04154563740746835;0.04129416413769521;0.041034778480612835;0.040951325501779365;0.04090829729344942;0.04093663965475409;0.04088731716877777;
0.04453292910150051;0.041941808026266084;0.041524429661363625;0.04136534536303001;0.04106622788971498;0.041000640018154226;0.04073193116316968;0.04073552879334815;0.04074153859461751;0.04069151463941484
0.04492791562883642;0.042349354498718135;0.04195900094545996;0.04186470035558926;0.04136362371849529;0.04120378002420076;0.0410138811994746;0.04093042916072513;0.040971400348963495;0.04090559091382447
0.044995858011365915;0.04250125753640003;0.04212093674439009;0.041763378298091555;0.041521551614181196;0.04137472058404978;0.041350880443116765;0.04135434299830379;0.04129375066703103;
0.0450544988662689;0.04254170600854308;0.04216024700589209;0.04177859534548569;0.041572765786307475;0.04138839554592584;0.04129260096946462;0.04116507625244257;0.041111883794016896;0.041106625758647215
0.04519397497057123;0.04255123527580434;0.04209152075257554;0.041975792338610055;0.0417769861490603;0.04171170459159229;0.0416585715381357;0.04165884406627998;0.04179151565186995;
0.045288395039908266;0.042536671597855964;0.04211279989123867;0.04192092360034631;0.041873076443462026;0.04175661232758016;0.04182616239155579;0.04170004850880337;0.04164302567496235;
0.04532529000475523;0.0428633376100465;0.042273023835627685;0.04207288849909836;0.041858960766350976;0.041675675018395586;0.04157950894224023;0.04156704263864728;;
0.045462298282514635;0.042872583722696686;0.04233549252701777;0.04211437174555345;0.0419692703479843;0.041836762305393;0.04181879196178316;0.041746505305958095;0.04173945750264396;
0.045639503879226;0.0428265907405853;0.042574466614391945;0.04242109027844217;0.04219189028948393;0.041971122322027085;0.04191234864535936;0.04191425390862551;0.04173501425676459;0.0417270520735208
0.04556052302888563;0.04281786997292513;0.042460072734868744;0.042183357212213134;0.04209268179316728;0.04200347482622222;0.041916767342800636;0.04186833035957894;0.041854478189257735;
0.04572595723834189;0.04300928234951864;0.04258153452210616;0.04234687679911029;0.0422685285143952;0.04223971031335089;0.04227187879920409;0.04221675289342196;0.0421736494550493;0.04216513494337032
0.04575527902900686;0.042985846617289256;0.04258765517945212;0.04241415412768919;0.042377412695297004;0.04235561232444054;0.04233639579897881;0.04226535387543716;0.04221887455266958;0.04219771261542985
0.046072127828507135;0.043166799864215226;0.04291561314650816;0.04267930158736323;0.042475838354066944;0.04230094714025314;0.04222659757704874;0.04220785341546168;0.042187431811237366;0.04218412551666435
0.04595591011443621;0.043122256183977484;0.04261410829144881;0.04260245209203717;0.042400865401486194;0.04234808929580146;;;;
0.04596582156895344;0.04305307067083787;0.04261264000312041;0.04239931040340061;0.042245804490362145;0.04219557149323881;0.042077967162112935;0.0420733140758507;0.04203408054952464;
0.04616822366365716;0.04277334940487163;0.04250116601453384;0.042392514825780256;0.04231128176896713;0.04224825801835068;0.04224115356473922;0.04222843372582028;0.04220407055117624;
0.04606575055676185;0.04309595429716201;0.042727929457554006;0.04251844648533626;0.04244484211035502;0.04238879448744681;0.042286089253919926;0.04229582600309757;0.042277507258592334;
0.046136594579690784;0.04313820132455662;0.0425839605592978;0.0424198017521981;0.04236714626715275;0.04234386863022982;0.042355125383737945;0.04228654155016505;0.04227058361768761;0.04226722343455536
0.04609546601264088;0.043182464037781323;0.042653753501790445;0.04247022812493979;0.04232395242669195;0.04224341463187331;0.04221749692326943;0.04218115939995871;;
0.04622340882190884;0.04320224794389043;0.04293174577896458;0.042827638020457144;0.04270216842590015;0.04264783837675166;0.04262515662629636;0.042609802660745946;0.04261228185755374;0.042602819828094926
0.046201573710350344;0.04315248771407399;0.042773545073283056;0.042551687876880594;0.042363383828272795;0.04233030347448765;0.0423325884930567;0.042240221898859634;0.04220719810234322;0.04219804333241363
