iteration,seconds
1,21.196151733398438
2,31.424985647201538
3,40.793760538101196
4,51.664082527160645
5,61.24097776412964
6,70.79781174659729
7,79.87928700447083
8,89.23340940475464
9,97.93211102485657
10,106.75656843185425
11,129.28455710411072
12,142.69089269638062
13,157.6020884513855
14,171.88014698028564
15,183.70327496528625
16,194.76087069511414
17,206.59234929084778
18,214.6828911304474
19,225.4140956401825
20,237.18805480003357
21,282.4275302886963
22,308.39475560188293
23,294.0175302028656
24,307.5145251750946
25,297.7213089466095
26,295.9340648651123
27,318.4347233772278
28,330.4879069328308
29,306.37106585502625
30,320.1641983985901
31,329.36598944664
32,295.24050211906433
33,296.94894433021545
34,290.83771872520447
35,200.84609246253967
36,175.2228422164917
37,172.0464129447937
38,168.12184190750122
39,166.7456612586975
40,163.88093066215515
41,159.9939272403717
42,153.61218452453613
43,152.74865531921387
44,111.71630430221558
45,95.43508625030518
46,95.09574246406555
47,93.04342365264893
48,71.74268531799316
49,71.24590563774109
50,72.01850485801697
51,70.65874433517456
52,68.99995803833008
53,70.211665391922
54,70.90640568733215
55,68.44921660423279
56,67.00136542320251
57,44.59851145744324
58,44.8670539855957
59,45.079607248306274
60,44.3092405796051
61,45.51338267326355
62,44.60994100570679
63,44.16484022140503
64,44.904711961746216
65,45.39330005645752
66,45.12035369873047
67,44.844778060913086
68,44.7509388923645
69,44.25553035736084
70,44.48497486114502
71,44.21816825866699
72,44.60047650337219
73,44.840091705322266
74,45.06565046310425
75,44.21605968475342
76,45.53011894226074
77,46.102917194366455
78,46.7296838760376
79,45.12494087219238
80,46.0688955783844
81,45.93427634239197
82,45.08326721191406
83,44.706976890563965
84,45.168055295944214
85,44.715670347213745
86,43.064953565597534
87,45.25328731536865
88,45.9208128452301
89,44.8320746421814
90,45.208996534347534
91,43.5519597530365
92,44.16252613067627
93,43.76605772972107
94,43.71736741065979
95,44.96600866317749
96,43.276777505874634
97,42.22754764556885
98,41.69494915008545
99,39.87671160697937
100,41.552199602127075
101,41.192750215530396
102,38.10807013511658
103,1.15291428565979
104,0.9518749713897705
105,0.8984851837158203
106,0.9090149402618408
107,0.8967809677124023
108,0.9651503562927246
109,0.910355806350708
110,0.8988399505615234
111,1.1647284030914307
112,1.2389533519744873
113,0.9416201114654541
114,0.9463469982147217
115,0.9041886329650879
116,0.921489953994751
117,0.9239671230316162
118,0.8907394409179688
