iteration,seconds
1,3.2666232585906982
2,1.3373076915740967
3,1.6209425926208496
4,1.9213902950286865
5,2.4394888877868652
6,2.7350025177001953
7,3.058706045150757
8,3.4888663291931152
9,4.1609485149383545
10,5.127692461013794
11,6.300820350646973
12,7.4417548179626465
13,8.932476043701172
14,11.22526240348816
15,13.48362421989441
16,16.589648485183716
17,19.914435148239136
18,23.713160753250122
19,28.007060289382935
20,33.15697932243347
21,38.078505516052246
22,44.98601937294006
23,49.937963008880615
24,59.197404623031616
25,65.2049708366394
26,73.51864337921143
27,82.63074898719788
28,90.99494814872742
29,102.31408882141113
30,109.61134171485901
31,122.0376648902893
32,130.09436511993408
33,139.38278007507324
34,148.08160543441772
35,152.41788387298584
36,162.2101652622223
37,173.8710434436798
38,176.40777969360352
39,183.69761729240417
40,192.91021513938904
41,201.5853533744812
42,208.6616928577423
43,208.4816493988037
44,221.27661418914795
45,226.4937241077423
46,232.08948159217834
47,238.17833137512207
48,242.52774906158447
49,240.46638107299805
50,247.75284099578857
51,259.4533123970032
52,260.123459815979
53,262.8162305355072
54,269.0966169834137
55,275.44534730911255
56,279.1782832145691
57,282.60973072052
58,287.36153531074524
59,282.4595808982849
60,291.94135546684265
61,294.04356241226196
62,290.3141300678253
63,307.0180263519287
64,305.78741359710693
65,313.6972107887268
66,301.0980808734894
67,316.2426724433899
68,323.22554063796997
69,326.205726146698
70,334.2757420539856
71,314.61914682388306
72,340.54201197624207
73,338.31619334220886
74,329.8993134498596
75,350.66795921325684
76,357.5543270111084
77,358.3224575519562
78,368.06905722618103
79,354.9177179336548
80,367.15535736083984
81,376.8435230255127
82,374.77093720436096
83,384.88088870048523
84,395.8081064224243
85,385.95926690101624
86,401.0534369945526
87,411.60636854171753
88,397.73352313041687
89,402.4552230834961
90,410.3961412906647
91,417.3263158798218
92,429.87356901168823
93,442.01623821258545
94,443.0167875289917
95,450.11830973625183
96,432.2365698814392
97,444.00663471221924
98,456.450971364975
99,460.6621699333191
100,474.4137725830078
101,466.0498721599579
102,478.0665624141693
103,476.89807534217834
104,469.57583713531494
105,500.3286232948303
106,489.22618317604065
107,485.55664014816284
108,494.29158329963684
109,500.0520188808441
110,492.664705991745
111,505.62636637687683
112,517.7832655906677
113,522.4935207366943
114,507.0883135795593
115,529.0566251277924
116,528.7431621551514
117,523.323903799057
118,524.9566957950592
