iteration,seconds
1,19.819819927215576
2,33.595306634902954
3,53.336321115493774
4,81.34865212440491
5,120.75381803512573
6,119.76891279220581
7,121.26638865470886
8,120.88177013397217
9,120.05661034584045
10,119.92122101783752
11,119.8140127658844
12,118.68383407592773
13,117.18385338783264
14,117.76938223838806
15,113.17743515968323
16,110.98306369781494
17,111.95989274978638
18,109.97537040710449
19,107.11167526245117
20,111.54172468185425
21,103.13230347633362
22,105.40538096427917
23,106.01198744773865
24,106.15643405914307
25,108.97564268112183
26,110.79374599456787
27,106.23778057098389
28,111.710932970047
29,112.26954317092896
30,107.16284012794495
31,114.1240165233612
32,111.46427202224731
33,109.5003092288971
34,104.44434189796448
35,100.63746166229248
36,100.690434217453
37,99.5473403930664
38,98.56480741500854
39,95.69180679321289
40,95.47461247444153
41,96.64535069465637
42,95.00835728645325
43,98.14837217330933
44,95.93367028236389
45,95.46856737136841
46,92.10511636734009
47,94.76856350898743
48,95.11859440803528
49,97.07977771759033
50,97.84826159477234
51,97.76685070991516
52,79.93411827087402
53,81.20967149734497
54,81.35191369056702
55,79.72651839256287
56,79.18928623199463
57,78.57772445678711
58,80.97011351585388
59,79.41161632537842
60,78.81616592407227
61,60.917500257492065
62,60.97776508331299
63,63.92607808113098
64,64.0274670124054
65,61.786781311035156
66,59.57923173904419
67,63.864943504333496
68,63.918349742889404
69,64.48013138771057
70,64.86980843544006
71,64.84008169174194
72,62.67854452133179
73,71.1415364742279
74,71.83707427978516
75,74.46698021888733
76,63.96613073348999
77,66.01452469825745
78,64.93787479400635
79,65.00960445404053
80,66.6871976852417
81,67.12751388549805
82,69.41328716278076
83,61.33678889274597
84,62.89074921607971
85,64.01228141784668
86,71.38298892974854
87,70.11563920974731
88,72.64370703697205
89,72.26073122024536
90,75.93559336662292
91,64.80859065055847
92,65.50500702857971
93,65.6349744796753
94,67.56871008872986
95,63.54940128326416
96,64.05553197860718
97,78.51221323013306
98,62.269697427749634
99,69.36949229240417
100,73.3284866809845
101,71.02171421051025
102,77.24437499046326
103,64.70935845375061
104,63.54191756248474
105,65.20490765571594
106,63.341543674468994
107,1.3306660652160645
108,1.3726866245269775
109,1.3681142330169678
110,1.2684659957885742
111,1.183135747909546
112,0.9705295562744141
113,1.6464531421661377
114,1.1269960403442383
115,0.9603116512298584
116,1.7197799682617188
117,1.743363618850708
118,1.6580805778503418
