near -3 -1 0,ufar -2 0 -1,mid -1 -2 0,far -1 -3 1,ufar -2 3 3,near -3 -2 -2,far -3 1 1,near -3 -1 -2,mid -2 -1 -3,mid -2 3 3,far -2 -2 -2,mid -2 -2 1,mid -2 1 3,far -3 3 3,ufar -1 -3 -1,well,real,X,Y,depth,phi,rho,vp,vs
-0.46324656092702543,0.26798199003407347,-1.1428823881988537,-0.17050169119720132,0.6091943632041603,-0.5936056814711501,-0.05739141204812514,-0.46324656092702543,-1.1730704172076716,0.6002975063041106,-0.03940670365588776,-1.38990142434404,0.05393772319070028,0.7013822267283736,0.28735759833186625,1,0,343,275,0,0.0,2.320102,3093.469727,1447.743652

-0.46324656092702543,0.26798199003407347,-1.1428823881988537,0.16385304696981173,0.8010826615987817,-0.5936056814711501,0.2289034825757011,-0.46324656092702543,-1.1730704172076716,0.7820959490176329,-0.03940670365588776,-1.3194536884260122,0.17747961149712038,0.9633244169421271,0.28735759833186625,1,0,343,275,1,0.0,2.305405,3073.873779,1438.572754

-0.17203144956694705,0.26798199003407347,-1.0563478261067252,0.46434892218258506,0.8951318005731767,-0.5936056814711501,0.4818488749604869,-0.46324656092702543,-1.1730704172076716,0.8680476255024427,-0.03940670365588776,-1.182387515670451,0.24997053132775993,1.1028779061967353,0.28735759833186625,1,0,343,275,2,0.0,2.35072,3134.294678,1466.849854

0.12133451947087343,0.5113909381292504,-0.9424806194060156,0.6897707577053769,0.880296432691758,-0.5936056814711501,0.6652461136741418,-0.46324656092702543,-1.1730704172076716,0.8719858545037559,-0.03940670365588776,-0.9897121130869768,0.29797138652503163,1.1076306929618274,0.5094672215196071,1,0,343,275,3,0.0,2.349086,3132.115479,1465.830078

0.38648941326250486,0.6655530325945581,-0.8144453691881288,0.8241830959645583,0.7494741225115644,-0.3809751028273022,0.767973678409765,-0.17203144956694705,-1.1730704172076716,0.8013803269572943,0.22969216261707281,-0.738906232606684,0.336497734446788,0.9729200111628215,0.6553708565428153,1,0,343,275,4,0.0,2.362119,3149.492188,1473.962402

0.617931640260198,0.6986970908988878,-0.6616634293068745,0.8585144153748393,0.518304027838782,-0.15422966511064584,0.7818694293534993,0.12133451947087343,-1.0739512640336044,0.6863281730990591,0.45689784482226403,-0.43591916240747675,0.39151113581427627,0.7242093511266223,0.7014881671089238,1,0,343,275,5,0.0,2.35951,3146.01416,1472.334473

0.8096481513707229,0.6126635699874194,-0.4774419518007884,0.7795302577343701,0.18683614323798833,0.06864421687809863,0.6949924380845206,0.38648941326250486,-0.9373058078722382,0.5174421808135236,0.6103266367876016,-0.10586534089786281,0.43526052054629644,0.3660149348719372,0.6535010403429443,1,0,343,275,6,0.0,2.349604,3132.804688,1466.152588

0.9305399736585105,0.4231285886527152,-0.26818870520094873,0.6127009243595788,-0.2094237743222858,0.2920229961770929,0.5190668710021753,0.617931640260198,-0.7756544954640834,0.30546266471804207,0.6830356509668049,0.23524894219030834,0.45560791149591595,-0.0710495355166737,0.5165097634619873,1,0,343,275,7,0.0,2.336864,3115.818848,1458.203125

0.9758256475133711,0.1489350366812736,-0.027544227738938443,0.33283824631119385,-0.6259014496736112,0.5126776981310996,0.2397145399099097,0.8096481513707229,-0.5801705463363036,0.05134992570577446,0.6731239714922851,0.517702222473476,0.4307345346451108,-0.5486691916436077,0.29073243881977046,1,0,343,275,8,0.0,2.347675,3130.234375,1464.949707

