iteration,seconds
1,18.162689447402954
2,32.44984722137451
3,52.095754623413086
4,80.25612115859985
5,118.6691346168518
6,118.89910745620728
7,118.03247499465942
8,118.18274545669556
9,117.23171973228455
10,120.45064282417297
11,121.75877666473389
12,124.19331336021423
13,125.84384250640869
14,129.1669635772705
15,133.01598119735718
16,137.05816841125488
17,140.02698516845703
18,145.44043922424316
19,145.83526015281677
20,151.23218202590942
21,156.4448366165161
22,162.7176399230957
23,164.68853211402893
24,172.13858819007874
25,171.5630543231964
26,162.73982048034668
27,173.255056142807
28,178.63794326782227
29,180.73664236068726
30,192.4720995426178
31,192.9628005027771
32,195.70002222061157
33,197.35957503318787
34,188.84359002113342
35,193.5345118045807
36,184.97624826431274
37,177.1646010875702
38,180.4907581806183
39,170.6214566230774
40,174.83910489082336
41,164.57320976257324
42,167.51427841186523
43,143.11733102798462
44,135.3089084625244
45,143.4180543422699
46,137.73111963272095
47,133.96690583229065
48,127.40973401069641
49,123.86211705207825
50,118.04806208610535
51,113.1624083518982
52,115.12250232696533
53,113.5987343788147
54,110.54656720161438
55,108.72761464118958
56,109.37053346633911
57,107.81460738182068
58,103.2737283706665
59,105.61727929115295
60,101.97155261039734
61,100.09149670600891
62,88.57040286064148
63,85.28565645217896
64,88.53696084022522
65,86.51721262931824
66,85.57199478149414
67,87.51239895820618
68,88.15523982048035
69,86.39591836929321
70,85.19275498390198
71,71.26468253135681
72,71.14282608032227
73,70.84283423423767
74,72.39604043960571
75,69.92658829689026
76,72.05545043945312
77,71.37738728523254
78,72.96561408042908
79,71.42465114593506
80,73.02552580833435
81,71.66103982925415
82,71.99865102767944
83,67.04299402236938
84,71.93563270568848
85,68.87154388427734
86,70.40695238113403
87,73.85593724250793
88,74.4035587310791
89,73.759530544281
90,73.12872958183289
91,68.18701100349426
92,70.85514092445374
93,72.28110146522522
94,74.93757104873657
95,72.84725451469421
96,71.71012234687805
97,73.57694888114929
98,75.05316424369812
99,74.27003931999207
100,75.4989058971405
101,74.17586326599121
102,73.77464509010315
103,76.31312823295593
104,75.20635867118835
105,70.36290216445923
106,72.70234179496765
107,74.94019722938538
108,73.49884271621704
109,73.16550087928772
110,72.67987704277039
111,68.85923528671265
112,65.84271836280823
113,71.05505681037903
114,70.3609459400177
115,67.28874945640564
116,61.746103286743164
117,1.338897943496704
118,1.345893144607544
