iteration,seconds
1,19.319746494293213
2,32.59130382537842
3,52.22353267669678
4,80.52035093307495
5,118.93816828727722
6,117.9738974571228
7,115.84637403488159
8,114.60851407051086
9,116.47865962982178
10,117.32960247993469
11,118.83900618553162
12,117.07193493843079
13,114.98830199241638
14,116.3444390296936
15,117.36910676956177
16,116.11748003959656
17,117.13792085647583
18,115.00416278839111
19,113.40570187568665
20,116.40925717353821
21,119.47361707687378
22,116.60200238227844
23,113.77761507034302
24,110.50552105903625
25,106.58527064323425
26,110.11586475372314
27,110.15753078460693
28,113.34284281730652
29,105.75054717063904
30,113.97892117500305
31,109.04198980331421
32,110.59281158447266
33,109.58256554603577
34,111.76151823997498
35,103.11260747909546
36,102.24301815032959
37,98.70765566825867
38,94.48329448699951
39,97.30996537208557
40,95.02395248413086
41,96.32979464530945
42,91.68600869178772
43,97.14170217514038
44,93.933908700943
45,88.50862145423889
46,93.31600999832153
47,92.69430637359619
48,93.32038593292236
49,93.79838418960571
50,92.90835189819336
51,90.54680609703064
52,76.38073229789734
53,76.20798587799072
54,75.61429977416992
55,77.16074514389038
56,80.04785251617432
57,81.70167326927185
58,78.97327065467834
59,80.87276887893677
60,81.23371982574463
61,62.3302264213562
62,63.34474039077759
63,62.70758390426636
64,64.22399854660034
65,63.70133304595947
66,63.851454973220825
67,61.99562692642212
68,63.87099885940552
69,64.07634377479553
70,64.54021739959717
71,62.658506631851196
72,62.913663387298584
73,65.31676864624023
74,62.818822383880615
75,64.03256058692932
76,64.34931945800781
77,63.72982335090637
78,63.782926082611084
79,67.47170686721802
80,68.90280437469482
81,69.97591090202332
82,68.28592133522034
83,69.01149797439575
84,67.8076524734497
85,69.41504120826721
86,70.37422108650208
87,72.94716000556946
88,73.3896815776825
89,73.80043411254883
90,74.68674111366272
91,73.35609126091003
92,74.7444338798523
93,75.10350036621094
94,74.30527138710022
95,73.73541951179504
96,74.04736065864563
97,73.24480962753296
98,72.26458382606506
99,72.9339075088501
100,69.85639715194702
101,70.96027874946594
102,68.30665302276611
103,67.42820119857788
104,65.96419596672058
105,64.57785677909851
106,60.681533336639404
107,1.3547310829162598
108,1.4116671085357666
109,1.3525760173797607
110,1.3011972904205322
111,1.2015271186828613
112,1.0260636806488037
113,1.2638523578643799
114,1.1846745014190674
115,1.782524585723877
116,0.9678983688354492
117,0.9904911518096924
118,1.0121123790740967
