iteration,seconds
1,21.09415102005005
2,19.51897883415222
3,18.51066541671753
4,18.879387855529785
5,18.52344799041748
6,17.576969385147095
7,20.758469581604004
8,20.30885076522827
9,19.824139833450317
10,20.226439714431763
11,22.11212730407715
12,20.005687952041626
13,22.56750988960266
14,23.83952784538269
15,22.914520025253296
16,23.717962741851807
17,24.482069492340088
18,18.918651342391968
19,24.392197608947754
20,22.517502069473267
21,24.860506057739258
22,24.741203546524048
23,26.053645372390747
24,24.60696506500244
25,26.55594253540039
26,24.55324077606201
27,26.855045795440674
28,24.485175609588623
29,25.553226470947266
30,25.854204177856445
31,25.799291610717773
32,26.03742003440857
33,25.06612491607666
34,21.746593952178955
35,21.86416268348694
36,23.942749738693237
37,23.191317796707153
38,23.342661380767822
39,22.467073678970337
40,22.597256183624268
41,21.672977209091187
42,23.834418296813965
43,21.462366104125977
44,22.180699110031128
45,21.8059983253479
46,22.496663570404053
47,21.23989748954773
48,20.388436794281006
49,21.136634588241577
50,20.6456778049469
51,22.00427222251892
52,20.748106002807617
53,21.103055477142334
54,20.66979742050171
55,22.414578199386597
56,20.384501934051514
57,19.744305849075317
58,19.372379779815674
59,21.236230850219727
60,20.502859592437744
61,20.373039484024048
62,19.73419952392578
63,18.877174615859985
64,20.153260946273804
65,21.045993089675903
66,19.253675937652588
67,18.9510817527771
68,21.414772510528564
69,20.699447870254517
70,20.44700312614441
71,20.310292720794678
72,18.725005865097046
73,21.17435908317566
74,19.678399562835693
75,19.54284644126892
76,20.050858736038208
77,20.36786198616028
78,17.93836259841919
79,18.363778114318848
80,18.16626214981079
81,16.735432386398315
82,17.743083000183105
83,18.031410694122314
84,17.247246742248535
85,17.355417013168335
86,17.656669855117798
87,18.086355924606323
88,17.212512969970703
89,19.309411764144897
90,17.321695804595947
91,17.074571132659912
92,17.021008729934692
93,17.514214038848877
94,18.26519250869751
95,18.02593207359314
96,17.714183807373047
97,18.384292364120483
98,17.87763500213623
99,17.788253784179688
100,18.28064751625061
101,17.649245262145996
102,17.323090076446533
